"","Intercept::Est","Intercept::SE","Intercept::t.val","Experiment2:Est","Experiment2:SE","Experiment2:t.val","Experiment3:Est","Experiment3:SE","Experiment3:t.val","GroupsDY:Est","GroupsDY:SE","GroupsDY:t.val","(Intercept):pval","Experiment2:pval","Experiment3:pval","GroupsDY:pval","(Intercept):pval.padj","Experiment2:pval.padj","Experiment3:pval.padj","GroupsDY:pval.padj","Pathway"
"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis",9.34649402910768,0.708804832831846,14.4213313603505,2.59857478487388,0.911177468592463,3.1184444504554,-16.9395156028651,0.838161365589828,-21.8934002428563,-0.636883383243213,0.717758511963527,-0.975653194207561,4.47843056246499e-09,0.0185724923037229,9.70491048635225e-14,0.424326101237917,1.25140239079285e-06,0.717136705523618,3.2478780082057e-11,1,"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis"
"1CMET2-PWY: folate transformations III (E. coli)",-8.48626005323061,0.906579261088801,-9.83374899657352,3.08044614215634,1.16541896716058,2.81315747706625,18.7756811199084,1.07202952955863,18.563345049137,-0.290294149466537,0.918031242558503,-0.349664790703562,2.10980580655357e-07,0.102767137456764,1.61615529991153e-11,0.622885953426696,6.14219920116212e-05,0.706759296290068,5.17634111798196e-09,1,"1CMET2-PWY: folate transformations III (E. coli)"
"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast",-9.010051285807,1.5006529536542,-6.1195579420626,3.01897749135077,1.9291081214606,1.59796690466371,3.72624599608862,1.77452137831234,2.16078745059976,0.452497558678966,1.51960932134903,0.323869039858609,4.85159024851134e-05,0.219523077036795,0.0979401045787869,0.685612430626388,0.012258997010979,0.982510441881249,0.91636372871217,1,"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast"
"ANAEROFRUCAT-PWY: homolactic fermentation",7.3712059822878,1.13701067361801,6.74934531839224,0.327252872151394,1.46164142703532,0.288699796255701,2.08567368609124,1.34451456133902,1.60638528611188,0.460959640265192,1.15137348305344,0.376343835095588,0.000195744331545331,0.75587899540801,0.13234014978857,0.711862374645263,0.0210332505097994,1,1,1,"ANAEROFRUCAT-PWY: homolactic fermentation"
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",8.97151683402443,0.287176713132176,31.2616563183583,3.61095128032073,0.369169252790009,9.78955705911238,1.84445355729236,0.339586321784526,5.43584053286032,-0.433350879769714,0.290804352257044,-1.49022021026145,4.63691317870102e-22,4.25730992268228e-10,1.23720861326916e-05,0.152424674267407,1.54876606825428e-19,1.48772284215603e-07,0.00347713748614988,1,"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)"
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",1.58043901276135,1.49797123875975,1.110900079967,-7.20044317148037,1.92566074345775,-3.836988450524,-9.35443705353596,1.77135025177095,-5.43634097700391,-0.384513974530546,1.51689373081832,-0.240847200702207,0.341905169108283,0.00528588082649225,0.000267426325572293,0.723917827824794,1,0.427595245822607,0.0635444090161138,1,"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis"
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",-8.17241686674928,1.44295538908172,-5.76940401117706,3.01859672763099,1.85493718131468,1.68112448663098,1.79512229612841,1.70629403663343,1.07881214819353,-1.06575466084601,1.46118291654305,-0.755493097147202,5.79416177916552e-05,0.2082478091962,0.372317998669978,0.512101160328445,0.0148610931946678,0.97811201799566,1,1,"ARGININE-SYN4-PWY: L-ornithine biosynthesis II"
"ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis",6.36147931802355,0.898103358989047,7.46592252577002,-11.7615325193862,1.15452308911128,-10.6143954351821,-14.0738525720303,1.06200677950182,-13.885786895543,-0.395511609935358,0.909448272187997,-0.473433030679975,1.36986501147982e-05,4.61673643377403e-08,5.80093801119674e-10,0.59955604188584,0.00337327137527718,1.60963986611702e-05,1.81034366376204e-07,0.994248939369509,"ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis"
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",-2.65328323302263,1.70568194815859,-1.54714733606852,-2.42569181327952,2.19267545558019,-1.13058470208698,-4.69148358665727,2.01696806329435,-2.37248310121193,-1.38588723423465,1.72722825845038,-0.81148440252701,0.154953204673639,0.336190326902785,0.0560790347421486,0.46377738355969,1,1,0.93058473840242,1,"ARGORNPROST-PWY: arginine, ornithine and proline interconversion"
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",9.15326634985355,0.268335618819405,34.1473632561486,3.35343648124724,0.344948790645538,9.73295468769135,1.30055009950891,0.317306737042833,4.10275948508113,-0.215258467656611,0.271725255739502,-0.792327759899614,5.62337015865548e-23,5.11819796381561e-10,0.000404111750819051,0.441505703179087,1.90807458479585e-20,1.77317832094905e-07,0.104628028779704,1,"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)"
