"","Group1","Group2","Adjusted_P_Value"
"1","DY","DY",NA
"2","DO","DY",0.716
"3","Y","DY",0.0025
"4","RAG1-/-","DY",0.01625
"5","O","DY",0.0025
"6","DY","DO",0.716
"7","DO","DO",NA
"8","Y","DO",0.0025
"9","RAG1-/-","DO",0.00714285714285714
"10","O","DO",0.004
"11","DY","Y",0.0025
"12","DO","Y",0.0025
"13","Y","Y",NA
"14","RAG1-/-","Y",0.0025
"15","O","Y",0.0544444444444444
"16","DY","RAG1-/-",0.01625
"17","DO","RAG1-/-",0.00714285714285714
"18","Y","RAG1-/-",0.0025
"19","RAG1-/-","RAG1-/-",NA
"20","O","RAG1-/-",0.005
"21","DY","O",0.0025
"22","DO","O",0.004
"23","Y","O",0.0544444444444444
"24","RAG1-/-","O",0.005
"25","O","O",NA
