"Pathway","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)",186.972538476811,26.5300853620518,2.93312057837863,9.04500331749644,1.49660626057648e-19,4.47138213608965e-17
"P162-PWY: L-glutamate degradation V (via hydroxyglutarate)",160.661776810931,26.3221775923131,2.9331315227947,8.97408704238166,2.85711318599977e-19,4.47138213608965e-17
"P161-PWY: acetylene degradation",57.2088775763977,24.8737762641468,2.93327214668023,8.47987333609601,2.25439231779898e-17,2.35208265157026e-15
"PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis",24.2134464310493,-24.2684117678327,2.93352589274545,-8.27277912489133,1.30872012501514e-16,9.13911954957687e-15
"PWY-6629: superpathway of L-tryptophan biosynthesis",22.1253154289215,-24.2305228585382,2.93357032551995,-8.25973819265561,1.45992325073113e-16,9.13911954957687e-15
"PWY-6895: superpathway of thiamin diphosphate biosynthesis II",25.0202511356128,23.7260545386371,2.93355309044526,8.08782176668768,6.07412019127226e-16,3.1686660331137e-14
"PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP",13.5417438303865,-23.5547025732302,2.93389740536843,-8.02846838820266,9.86970353483875e-16,4.41316743772076e-14
"PWY-6891: thiazole biosynthesis II (Bacillus)",11.8697795470568,22.6792399374002,2.93410626608783,7.72952234195643,1.07950863267571e-14,4.22357752534371e-13
"PWY-8131: 5'-deoxyadenosine degradation II",9.85424030507768,22.4242576410433,2.93432041323676,7.64206169847271,2.13770689125448e-14,7.43446952180723e-13
"PYRIDNUCSAL-PWY: NAD salvage pathway I",11.2106835837345,21.7794155247344,2.93416811168216,7.42268837222427,1.14766590317211e-13,3.59219427692872e-12
"GALACTITOLCAT-PWY: galactitol degradation",5.37165625900262,21.5707532743102,2.93537496932666,7.34855120715914,2.00366705773318e-13,5.70134353700442e-12
"PWY-7616: methanol oxidation to carbon dioxide",5.64456865619425,6.03969552821846,2.93526671833457,2.05763090982249,0.0396255771683725,0.996594415525585
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",5.34885205641546,-5.84297965199323,2.93518777336162,-1.99066639109816,0.046517575977833,0.996594415525585
"PWY-5189: tetrapyrrole biosynthesis II (from glycine)",5.04962153933344,-5.76035621223756,2.9353134365173,-1.96243308826063,0.0497120836408356,0.996594415525585
"GLUCARDEG-PWY: D-glucarate degradation I",4.56369380713578,5.73289145995492,2.93579072590211,1.95275889707476,0.0508481710856487,0.996594415525585
"PWY-6953: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis",3.16255974354146,5.20345033019628,2.93700292669016,1.77168714505174,0.0764465047183163,0.996594415525585
"PWY-6531: mannitol cycle",2.8483170017306,5.05323319156922,2.93743578376708,1.7202872040623,0.0853802482567858,0.996594415525585
"PWY66-389: phytol degradation",2.72534904725211,-4.87322586893681,2.93723029801028,-1.6591228383549,0.0970910420533882,0.996594415525585
"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast",1.94188565901501,4.50649282575736,2.93945146619698,1.5331067301437,0.125249559721792,0.996594415525585
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",1589.10494575874,1.20051554953997,0.896876419163859,1.33855180478397,0.180716624801514,0.996594415525585
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",40089.9180768028,-0.105447773211952,0.0798075448592587,-1.3212757440153,0.186409438673108,0.996594415525585
"PWY-6123: inosine-5'-phosphate biosynthesis I",32437.9636195521,-0.20253743231387,0.154894981519204,-1.30757904696066,0.19101612758898,0.996594415525585
"PWY-6124: inosine-5'-phosphate biosynthesis II",30660.743379719,-0.221447692437158,0.172196416358046,-1.28601800850898,0.198436776819929,0.996594415525585
"PWY-7221: guanosine ribonucleotides de novo biosynthesis",48171.0204494088,0.0847198551004,0.0667186011819959,1.269808623075,0.204152808364306,0.996594415525585
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",35421.163298182,-0.124991640087468,0.0994060981361941,-1.25738402805248,0.208614609942998,0.996594415525585
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)",57768.0337195995,0.154934455684314,0.124683815210235,1.24261882284458,0.214008330345529,0.996594415525585
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",40924.0644963922,-0.0868290950387121,0.0750109291472991,-1.15755258634653,0.247046667691764,0.996594415525585
"KETOGLUCONMET-PWY: ketogluconate metabolism",89.4272201740909,2.98401978168436,2.62161944591513,1.13823529434598,0.255022244637842,0.996594415525585
"PWY-5103: L-isoleucine biosynthesis III",36854.245259537,0.138083440371777,0.127985596833173,1.07889828065393,0.280633075401969,0.996594415525585
