feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis	Groups	DY	-0.103219428600564	0.356780985200498	30	19	0.774477435652139	0.999279278975494
X1CMET2.PWY..folate.transformations.III..E..coli.	Groups	DY	-0.0616425932963269	0.410483103225081	30	11	0.881706387320668	0.999279278975494
ANAEROFRUCAT.PWY..homolactic.fermentation	Groups	DY	-0.184621021819046	0.441111979363602	30	29	0.678748621645513	0.999279278975494
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	Groups	DY	-0.179785998009823	0.233653027200572	30	30	0.448064847606392	0.999279278975494
ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis	Groups	DY	0.197267288813967	0.371662588614932	30	9	0.599763356943666	0.999279278975494
ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis	Groups	DY	-0.0369532866407265	0.348655663890434	30	11	0.916347637134745	0.999279278975494
ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion	Groups	DY	-0.0469173844000062	0.180206037176208	30	5	0.796495760007918	0.999279278975494
ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.	Groups	DY	0.0741592225522922	0.162291746730466	30	30	0.651232408519553	0.999279278975494
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.	Groups	DY	0.0135662215926328	0.202968770215182	30	30	0.947184895000535	0.999279278975494
ARO.PWY..chorismate.biosynthesis.I	Groups	DY	-0.072413834973127	0.227567755957038	30	30	0.752688617974032	0.999279278975494
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	Groups	DY	0.175331856030653	0.457305294271795	30	29	0.704317267321904	0.999279278975494
BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I	Groups	DY	0.197325913082456	0.59933869488447	30	12	0.744424914981165	0.999279278975494
BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis	Groups	DY	0.110894317600591	0.279706030919706	30	19	0.694765751109987	0.999279278975494
BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	Groups	DY	-0.0467983719103945	0.316493543639958	30	11	0.883508858204831	0.999279278975494
CALVIN.PWY..Calvin.Benson.Bassham.cycle	Groups	DY	0.0613004578788577	0.249468435386248	30	30	0.807687937653982	0.999279278975494
CENTFERM.PWY..pyruvate.fermentation.to.butanoate	Groups	DY	0.546056694502964	0.826878286795447	30	20	0.514404424983825	0.999279278975494
CITRULBIO.PWY..L.citrulline.biosynthesis	Groups	DY	0.501445538404671	0.724569798507997	30	21	0.494599355102048	0.999279278975494
COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	Groups	DY	0.0241255268309879	0.259655381960863	30	19	0.926633806408094	0.999279278975494
COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals.	Groups	DY	-0.0628394113649055	0.346109228340789	30	11	0.857236412563466	0.999279278975494
COA.PWY..coenzyme.A.biosynthesis.I	Groups	DY	0.014049945504896	0.273015732811714	30	19	0.959322737037931	0.999279278975494
COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic.	Groups	DY	-0.0679611770919507	0.416764727997126	30	11	0.871635797106532	0.999279278975494
COBALSYN.PWY..adenosylcobalamin.salvage.from.cobinamide.I	Groups	DY	0.430601223074147	0.262384966115983	30	9	0.111962640213823	0.999279278975494
COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis	Groups	DY	-0.236939979834127	0.656176156096982	30	23	0.720740962539363	0.999279278975494
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	Groups	DY	-0.0974162077547015	0.223295825954776	30	30	0.665989777737563	0.999279278975494
DAPLYSINESYN.PWY..L.lysine.biosynthesis.I	Groups	DY	-0.93712612566325	0.593300174393331	30	23	0.125450222403715	0.999279278975494
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	Groups	DY	0.123570387525127	0.641158692264148	30	12	0.848561705092185	0.999279278975494
DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	Groups	DY	-0.0949927318838334	0.305620712531134	30	11	0.75824033005016	0.999279278975494
DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	Groups	DY	-0.0729118000236983	0.282317840380861	30	19	0.798094105168598	0.999279278975494
