feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I	Experiment	3	8.92200489475765	0.153064381252148	30	13	4.3464327776741e-29	4.04218248323692e-26
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	Experiment	3	-3.55470047025676	0.0968704903364764	30	12	6.32284694537039e-24	2.94012382959723e-21
PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	Experiment	3	-3.54572673339311	0.101067763028509	30	12	1.98935817463185e-23	6.16701034135873e-21
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	Experiment	2	-3.42454548644652	0.105309325614152	30	12	1.37136625011395e-22	3.18842653151494e-20
PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	Experiment	2	-3.41757935459665	0.109872242092444	30	12	4.23606036497686e-22	7.87907227885697e-20
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	Experiment	3	-5.31314736057565	0.212389330687194	30	12	1.02236961451896e-19	1.47688509730614e-17
PWY66.429..fatty.acid.biosynthesis.initiation..mitochondria.	Experiment	3	1.18767580888701	0.0476357599743798	30	11	1.11163394420893e-19	1.47688509730614e-17
PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I	Experiment	3	-4.32257008580511	0.178661417680584	30	12	2.35411477192861e-19	2.73665842236701e-17
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III	Experiment	3	-3.37672709839124	0.141866100453958	30	12	3.53659891784694e-19	3.65448554844184e-17
PWY.6151..S.adenosyl.L.methionine.cycle.I	Experiment	3	-1.80905965594524	0.0763366914317076	30	19	3.94304089657456e-19	3.66702803381434e-17
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	Experiment	2	-5.42347139701959	0.230891545037295	30	12	4.91619696218963e-19	4.15642106803305e-17
PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II	Experiment	3	-3.50598358147178	0.151201412616292	30	12	6.779719975723e-19	5.25428298118532e-17
PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.	Experiment	3	-3.53794246290203	0.163280228530778	30	12	3.63269580303406e-18	2.59877468986283e-16
PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I	Experiment	2	-4.18847655049572	0.194225437941506	30	12	4.08548609087614e-18	2.71393004608201e-16
PWY.5686..UMP.biosynthesis	Experiment	3	-1.37418876961401	0.0641111706649438	30	19	4.74560614845447e-18	2.94227581204177e-16
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III	Experiment	2	-3.25097334557314	0.154224710894131	30	12	7.16109344269291e-18	4.16238556356526e-16
PWY.6317..D.galactose.degradation.I..Leloir.pathway.	Experiment	3	1.37695980776304	0.0664955051998432	30	11	1.10936424206716e-17	6.0688749713086e-16
PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II	Experiment	2	-3.37449544489044	0.164373265162807	30	12	1.37147145647355e-17	7.0859358584467e-16
X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis	Experiment	3	-2.06276512107655	0.105410763725953	30	19	4.43187824660353e-17	2.16928777333752e-15
THISYNARA.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.III..eukaryotes.	Experiment	3	-3.5888997201358	0.184081127916557	30	19	4.85220899776538e-17	2.2562771839609e-15
PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.	Experiment	2	-3.40543156912981	0.177504322451293	30	12	7.18221899668807e-17	3.18069698424757e-15
DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	Experiment	3	-1.56169107570691	0.0822057834171249	30	19	9.12347432873999e-17	3.85674142078554e-15
PWY0.1261..anhydromuropeptides.recycling	Experiment	3	-1.42623400560038	0.0760524083804784	30	11	1.24902726967561e-16	5.05041461216658e-15
PWY.8178..pentose.phosphate.pathway..non.oxidative.branch..II	Experiment	3	1.98425950722333	0.106630952813607	30	11	1.50714051951776e-16	5.84016951313133e-15
PWY.3841..folate.transformations.II	Experiment	3	-1.67314831076098	0.090727770914159	30	19	1.87574817777445e-16	6.97778322132094e-15
PWY.5981..CDP.diacylglycerol.biosynthesis.III	Experiment	3	2.04249595609127	0.110968107123915	30	11	1.96472641814573e-16	7.02767526490588e-15
COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals.	Experiment	3	1.85054003490343	0.100754852192952	30	11	2.06932645937538e-16	7.12768002673741e-15
PWY.6700..queuosine.biosynthesis	Experiment	3	-1.97286835093524	0.10878731095279	30	19	2.8128628253639e-16	9.34272295567294e-15
PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	Experiment	3	-1.80921724369119	0.100272146940301	30	19	3.1806519402407e-16	9.86002101474616e-15
PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis	Experiment	3	-1.315411116228	0.072869065069089	30	19	3.14409750237998e-16	9.86002101474616e-15
PWY.7851..coenzyme.A.biosynthesis.II..eukaryotic.	Experiment	3	1.87049360374095	0.104760876834439	30	11	4.09614262207534e-16	1.2288427866226e-14
