"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"PWY0.1241..ADP.L.glycero..beta..D.manno.heptose.biosynthesis","Groups","Y",3.08832460048861,0.355250522776109,3.15328436963437e-08,"GroupsY",1.14148894180764e-05,22,16
"PWY.6606..guanosine.nucleotides.degradation.II","Groups","Y",-0.836295457774529,0.181385774747379,0.00016912957642742,"GroupsY",0.0213443956940361,22,22
"PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage","Groups","Y",2.8808017542959,0.627447863990534,0.000176887257132896,"GroupsY",0.0213443956940361,22,9
"PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type","Groups","Y",-1.73729466198368,0.44129582979802,0.000815529963169063,"GroupsY",0.0492036411112001,22,20
"PWY.6527..stachyose.degradation","Groups","Y",-0.658001856571091,0.163835594368598,0.000677320914882406,"GroupsY",0.0492036411112001,22,22
"PWY.6608..guanosine.nucleotides.degradation.III","Groups","Y",-0.822092613055072,0.208235670206548,0.000794658004815659,"GroupsY",0.0492036411112001,22,22
"P164.PWY..purine.nucleobases.degradation.I..anaerobic.","Groups","Y",-0.733273235139741,0.192116107820147,0.00107930871644812,"GroupsY",0.0492594594502077,22,22
"PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type","Groups","Y",-1.62500511985667,0.433496170028174,0.00126547881809352,"GroupsY",0.0492594594502077,22,20
"PWY0.162..superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis","Groups","Y",1.23317109825061,0.331724664435741,0.00136075854834828,"GroupsY",0.0492594594502077,22,21
"PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I","Groups","Y",2.52365968187372,0.669953123542962,0.00121257246042365,"GroupsY",0.0492594594502077,22,11
"PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III","Groups","Y",-0.736733628304778,0.204223384984964,0.00175749837528961,"GroupsY",0.0578376738049852,22,22
"COBALSYN.PWY..adenosylcobalamin.salvage.from.cobinamide.I","Groups","Y",-1.64880821960208,0.529833876362751,0.00549409997572385,"GroupsY",0.165738682601003,22,7
"PWY0.1298..superpathway.of.pyrimidine.deoxyribonucleosides.degradation","Groups","Y",-2.19338534958631,0.723881056693052,0.00661279726633453,"GroupsY",0.184140970031777,22,15
"PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.","Groups","Y",-0.781679836644219,0.263431532049916,0.00761568427353436,"GroupsY",0.196624019885185,22,22
"PWY.6969..TCA.cycle.V..2.oxoglutarate.ferredoxin.oxidoreductase.","Groups","Y",-1.13823670415214,0.387524515642815,0.00814740413888888,"GroupsY",0.196624019885185,22,7
"FUCCAT.PWY..fucose.degradation","Groups","Y",1.13131414572904,0.398444865029566,0.0101344686821392,"GroupsY",0.229292353933399,22,18
"PWY.7282..4.amino.2.methyl.5.diphosphomethylpyrimidine.biosynthesis.II","Groups","Y",1.74643919443809,0.659903589811409,0.0154835688789934,"GroupsY",0.329708937305624,22,6
"TEICHOICACID.PWY..teichoic.acid..poly.glycerol..biosynthesis","Groups","Y",-1.21775532960883,0.486696144756371,0.0211391915779834,"GroupsY",0.425132630623889,22,9
"HEME.BIOSYNTHESIS.II..heme.b.biosynthesis.I..aerobic.","Groups","Y",1.61358212802613,0.661268089220399,0.0241162752855897,"GroupsY",0.451654432989012,22,6
"PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.","Groups","Y",-1.38132919121882,0.569854818335521,0.0249532835905531,"GroupsY",0.451654432989012,22,22
"HSERMETANA.PWY..L.methionine.biosynthesis.III","Groups","Y",-0.311019969461419,0.132084864889519,0.0288660573461223,"GroupsY",0.475004655576326,22,22
"PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I","Groups","Y",-0.619914839526215,0.265136636775748,0.0298842813673804,"GroupsY",0.475004655576326,22,22
"PWY0.862...5Z..dodecenoate.biosynthesis.I","Groups","Y",-0.978963444554955,0.41954838715259,0.0301798538073356,"GroupsY",0.475004655576326,22,6
"PANTO.PWY..phosphopantothenate.biosynthesis.I","Groups","Y",-0.378785073952737,0.180843240737696,0.0491502621606051,"GroupsY",0.573948222649646,22,22
"PWY.1861..formaldehyde.assimilation.II..RuMP.Cycle.","Groups","Y",-0.902893055051002,0.425588614211199,0.0465654954833195,"GroupsY",0.573948222649646,22,7
"PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation.","Groups","Y",-0.981451083274363,0.463858971241322,0.0470991514599243,"GroupsY",0.573948222649646,22,18
"PWY.5973..cis.vaccenate.biosynthesis","Groups","Y",-0.358984999670364,0.164709594185357,0.0414198986497687,"GroupsY",0.573948222649646,22,22
"PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type","Groups","Y",-1.11155646941265,0.528274775358883,0.0482178873763114,"GroupsY",0.573948222649646,22,9
"PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II","Groups","Y",-0.207743711598042,0.0978515726683517,0.0464222938677275,"GroupsY",0.573948222649646,22,22
"PWY.7663..gondoate.biosynthesis..anaerobic.","Groups","Y",-0.391823818713705,0.185420985071113,0.0473531571409302,"GroupsY",0.573948222649646,22,22
"PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.","Groups","Y",-0.603836113361461,0.278055514693214,0.042086011526409,"GroupsY",0.573948222649646,22,22
"PWY.5097..L.lysine.biosynthesis.VI","Groups","Y",-0.186988014252715,0.0906658833294434,0.0524020404635661,"GroupsY",0.592798082744091,22,22
