feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY0.1241..ADP.L.glycero..beta..D.manno.heptose.biosynthesis	Groups	Y	3.08832460048861	0.355250522776109	22	16	3.15328436963437e-08	1.14148894180764e-05
PWY.6606..guanosine.nucleotides.degradation.II	Groups	Y	-0.836295457774529	0.181385774747379	22	22	0.00016912957642742	0.0213443956940361
PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage	Groups	Y	2.8808017542959	0.627447863990534	22	9	0.000176887257132896	0.0213443956940361
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type	Groups	Y	-1.73729466198368	0.44129582979802	22	20	0.000815529963169063	0.0492036411112001
PWY.6527..stachyose.degradation	Groups	Y	-0.658001856571091	0.163835594368598	22	22	0.000677320914882406	0.0492036411112001
PWY.6608..guanosine.nucleotides.degradation.III	Groups	Y	-0.822092613055072	0.208235670206548	22	22	0.000794658004815659	0.0492036411112001
P164.PWY..purine.nucleobases.degradation.I..anaerobic.	Groups	Y	-0.733273235139741	0.192116107820147	22	22	0.00107930871644812	0.0492594594502077
PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type	Groups	Y	-1.62500511985667	0.433496170028174	22	20	0.00126547881809352	0.0492594594502077
PWY0.162..superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis	Groups	Y	1.23317109825061	0.331724664435741	22	21	0.00136075854834828	0.0492594594502077
PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I	Groups	Y	2.52365968187372	0.669953123542962	22	11	0.00121257246042365	0.0492594594502077
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III	Groups	Y	-0.736733628304778	0.204223384984964	22	22	0.00175749837528961	0.0578376738049852
COBALSYN.PWY..adenosylcobalamin.salvage.from.cobinamide.I	Groups	Y	-1.64880821960208	0.529833876362751	22	7	0.00549409997572385	0.165738682601003
PWY0.1298..superpathway.of.pyrimidine.deoxyribonucleosides.degradation	Groups	Y	-2.19338534958631	0.723881056693052	22	15	0.00661279726633453	0.184140970031777
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	Groups	Y	-0.781679836644219	0.263431532049916	22	22	0.00761568427353436	0.196624019885185
PWY.6969..TCA.cycle.V..2.oxoglutarate.ferredoxin.oxidoreductase.	Groups	Y	-1.13823670415214	0.387524515642815	22	7	0.00814740413888888	0.196624019885185
FUCCAT.PWY..fucose.degradation	Groups	Y	1.13131414572904	0.398444865029566	22	18	0.0101344686821392	0.229292353933399
PWY.7282..4.amino.2.methyl.5.diphosphomethylpyrimidine.biosynthesis.II	Groups	Y	1.74643919443809	0.659903589811409	22	6	0.0154835688789934	0.329708937305624
TEICHOICACID.PWY..teichoic.acid..poly.glycerol..biosynthesis	Groups	Y	-1.21775532960883	0.486696144756371	22	9	0.0211391915779834	0.425132630623889
HEME.BIOSYNTHESIS.II..heme.b.biosynthesis.I..aerobic.	Groups	Y	1.61358212802613	0.661268089220399	22	6	0.0241162752855897	0.451654432989012
PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.	Groups	Y	-1.38132919121882	0.569854818335521	22	22	0.0249532835905531	0.451654432989012
HSERMETANA.PWY..L.methionine.biosynthesis.III	Groups	Y	-0.311019969461419	0.132084864889519	22	22	0.0288660573461223	0.475004655576326
PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I	Groups	Y	-0.619914839526215	0.265136636775748	22	22	0.0298842813673804	0.475004655576326
PWY0.862...5Z..dodecenoate.biosynthesis.I	Groups	Y	-0.978963444554955	0.41954838715259	22	6	0.0301798538073356	0.475004655576326
PANTO.PWY..phosphopantothenate.biosynthesis.I	Groups	Y	-0.378785073952737	0.180843240737696	22	22	0.0491502621606051	0.573948222649646
PWY.1861..formaldehyde.assimilation.II..RuMP.Cycle.	Groups	Y	-0.902893055051002	0.425588614211199	22	7	0.0465654954833195	0.573948222649646
PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation.	Groups	Y	-0.981451083274363	0.463858971241322	22	18	0.0470991514599243	0.573948222649646
PWY.5973..cis.vaccenate.biosynthesis	Groups	Y	-0.358984999670364	0.164709594185357	22	22	0.0414198986497687	0.573948222649646
PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type	Groups	Y	-1.11155646941265	0.528274775358883	22	9	0.0482178873763114	0.573948222649646
PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II	Groups	Y	-0.207743711598042	0.0978515726683517	22	22	0.0464222938677275	0.573948222649646
PWY.7663..gondoate.biosynthesis..anaerobic.	Groups	Y	-0.391823818713705	0.185420985071113	22	22	0.0473531571409302	0.573948222649646
PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.	Groups	Y	-0.603836113361461	0.278055514693214	22	22	0.042086011526409	0.573948222649646
PWY.5097..L.lysine.biosynthesis.VI	Groups	Y	-0.186988014252715	0.0906658833294434	22	22	0.0524020404635661	0.592798082744091
PWY.5022..4.aminobutanoate.degradation.V	Groups	Y	0.891640748925872	0.439911957295768	22	18	0.0562173019444029	0.595658852368862
PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	Groups	Y	-0.493938400409346	0.246767063385825	22	22	0.0590754817775976	0.595658852368862
PWY.7254..TCA.cycle.VII..acetate.producers.	Groups	Y	0.817693097892645	0.411676793517739	22	6	0.0608822583912925	0.595658852368862
RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.	Groups	Y	-0.438020231632394	0.220185342393539	22	22	0.0605173262568012	0.595658852368862
SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis	Groups	Y	-0.965413669986772	0.47438703847184	22	18	0.0553136114393377	0.595658852368862
PWY.5941..glycogen.degradation.II..eukaryotic.	Groups	Y	0.828894502779605	0.422148194650357	22	10	0.0636417671089798	0.606271570880281
PWY.5265..peptidoglycan.biosynthesis.II..staphylococci.	Groups	Y	-0.714270332477632	0.373388608590616	22	9	0.0701822384825786	0.626048913160994
PWY.7383..anaerobic.energy.metabolism..invertebrates..cytosol.	Groups	Y	0.552194677947712	0.289470464221415	22	22	0.0709060923745877	0.626048913160994
PWY.821..superpathway.of.sulfur.amino.acid.biosynthesis..Saccharomyces.cerevisiae.	Groups	Y	-0.91917634893965	0.479042787184465	22	13	0.0693982968436594	0.626048913160994
ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis	Groups	Y	-0.844239315617117	0.492070427413869	22	11	0.101671113922697	0.683976079279786
CALVIN.PWY..Calvin.Benson.Bassham.cycle	Groups	Y	-0.352318489906977	0.198670700507565	22	22	0.0913954031650611	0.683976079279786
FERMENTATION.PWY..mixed.acid.fermentation	Groups	Y	-0.751697345613545	0.439951752447642	22	22	0.103001306400883	0.683976079279786
HISDEG.PWY..L.histidine.degradation.I	Groups	Y	-0.583604133224392	0.338132017648646	22	22	0.0997710830345787	0.683976079279786
PWY.4041...gamma..glutamyl.cycle	Groups	Y	-0.554781518316096	0.302824888843764	22	22	0.0818834049625891	0.683976079279786
PWY.5505..L.glutamate.and.L.glutamine.biosynthesis	Groups	Y	-0.410202545509228	0.233128656009615	22	22	0.0937724800466938	0.683976079279786
PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I	Groups	Y	0.134188597311912	0.076986108174975	22	22	0.0966846971726778	0.683976079279786
PWY.6549..L.glutamine.biosynthesis.III	Groups	Y	-0.748681053831897	0.425100311472304	22	22	0.0934890463303287	0.683976079279786
PWY.6595..superpathway.of.guanosine.nucleotides.degradation..plants.	Groups	Y	-0.998863348659584	0.58723229588257	22	16	0.104446416627333	0.683976079279786
PWY.6703..preQ0.biosynthesis	Groups	Y	-0.42793042343651	0.252635370544051	22	22	0.105808454253227	0.683976079279786
PWY.6749..CMP.legionaminate.biosynthesis.I	Groups	Y	-0.853822561266057	0.487957434658042	22	16	0.0954835448174342	0.683976079279786
PWY.7282..4.amino.2.methyl.5.phosphomethylpyrimidine.biosynthesis..yeast.	Groups	Y	0.415906397335111	0.236607744514408	22	3	0.0940799003005127	0.683976079279786
PWY.8131..5..deoxyadenosine.degradation.II	Groups	Y	0.544285068235529	0.308845515499068	22	3	0.0932924788400969	0.683976079279786
PWY0.1061..superpathway.of.L.alanine.biosynthesis	Groups	Y	-1.09061251711983	0.592284758943918	22	9	0.0804502611924422	0.683976079279786
PWY4LZ.257..superpathway.of.fermentation..Chlamydomonas.reinhardtii.	Groups	Y	-1.2075334260715	0.71275409878753	22	13	0.105747970555156	0.683976079279786
P42.PWY..incomplete.reductive.TCA.cycle	Groups	Y	-1.18949792703096	0.723476279265648	22	18	0.115774796509012	0.735271514671271
HEME.BIOSYNTHESIS.II..heme.biosynthesis.I..aerobic.	Groups	Y	1.52511019124464	0.94606237721831	22	9	0.122617854034594	0.752333273907168
PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II	Groups	Y	-0.680219596135341	0.421536523153461	22	22	0.12226734449311	0.752333273907168
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	Groups	Y	0.254550515665813	0.159898656967521	22	22	0.127078873126626	0.756949182006276
PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis	Groups	Y	-0.361303578523114	0.227311241454315	22	22	0.127638866615439	0.756949182006276
THRESYN.PWY..superpathway.of.L.threonine.biosynthesis	Groups	Y	0.216752812494132	0.137128535845359	22	22	0.129643230067373	0.756949182006276
P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I	Groups	Y	-0.679877089892759	0.43511977319401	22	8	0.133854160734667	0.757112596655462
PWY0.781..aspartate.superpathway	Groups	Y	-0.670991679994117	0.428198011341452	22	8	0.132797941347501	0.757112596655462
P122.PWY..heterolactic.fermentation	Groups	Y	-0.807003333618036	0.520456836642727	22	8	0.136685761830081	0.761234550499837
ARO.PWY..chorismate.biosynthesis.I	Groups	Y	0.181110674432633	0.119434585414286	22	22	0.145065388466844	0.763748793989468
GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	Groups	Y	-0.367261281652697	0.241717744612538	22	22	0.144317995793879	0.763748793989468
HEMESYN2.PWY..heme.biosynthesis.II..anaerobic.	Groups	Y	-0.702994797120692	0.472667689843942	22	5	0.152534525312075	0.763748793989468
P161.PWY..acetylene.degradation	Groups	Y	-0.553975164180229	0.374311325476692	22	5	0.154458092133438	0.763748793989468
PWY.2942..L.lysine.biosynthesis.III	Groups	Y	-0.145551790161208	0.0987654603025253	22	22	0.156125444075195	0.763748793989468
PWY.6263..superpathway.of.menaquinol.8.biosynthesis.II	Groups	Y	-0.420983881323424	0.281160945368315	22	5	0.149930220059335	0.763748793989468
PWY.7199..pyrimidine.deoxyribonucleosides.salvage	Groups	Y	0.265937750287631	0.1738293107917	22	22	0.141710479085411	0.763748793989468
