feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY0.1241..ADP.L.glycero..beta..D.manno.heptose.biosynthesis	Groups	Y	3.08832460048861	0.355250522776109	22	16	3.15328436963437e-08	1.14148894180764e-05
PWY.6606..guanosine.nucleotides.degradation.II	Groups	Y	-0.836295457774529	0.181385774747379	22	22	0.00016912957642742	0.0213443956940361
PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage	Groups	Y	2.8808017542959	0.627447863990534	22	9	0.000176887257132896	0.0213443956940361
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type	Groups	Y	-1.73729466198368	0.44129582979802	22	20	0.000815529963169063	0.0492036411112001
PWY.6527..stachyose.degradation	Groups	Y	-0.658001856571091	0.163835594368598	22	22	0.000677320914882406	0.0492036411112001
PWY.6608..guanosine.nucleotides.degradation.III	Groups	Y	-0.822092613055072	0.208235670206548	22	22	0.000794658004815659	0.0492036411112001
P164.PWY..purine.nucleobases.degradation.I..anaerobic.	Groups	Y	-0.733273235139741	0.192116107820147	22	22	0.00107930871644812	0.0492594594502077
PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type	Groups	Y	-1.62500511985667	0.433496170028174	22	20	0.00126547881809352	0.0492594594502077
PWY0.162..superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis	Groups	Y	1.23317109825061	0.331724664435741	22	21	0.00136075854834828	0.0492594594502077
PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I	Groups	Y	2.52365968187372	0.669953123542962	22	11	0.00121257246042365	0.0492594594502077
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III	Groups	Y	-0.736733628304778	0.204223384984964	22	22	0.00175749837528961	0.0578376738049852
COBALSYN.PWY..adenosylcobalamin.salvage.from.cobinamide.I	Groups	Y	-1.64880821960208	0.529833876362751	22	7	0.00549409997572385	0.165738682601003
PWY0.1298..superpathway.of.pyrimidine.deoxyribonucleosides.degradation	Groups	Y	-2.19338534958631	0.723881056693052	22	15	0.00661279726633453	0.184140970031777
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	Groups	Y	-0.781679836644219	0.263431532049916	22	22	0.00761568427353436	0.196624019885185
PWY.6969..TCA.cycle.V..2.oxoglutarate.ferredoxin.oxidoreductase.	Groups	Y	-1.13823670415214	0.387524515642815	22	7	0.00814740413888888	0.196624019885185
FUCCAT.PWY..fucose.degradation	Groups	Y	1.13131414572904	0.398444865029566	22	18	0.0101344686821392	0.229292353933399
