"","phylum","TFZ002_8073","TFZ002_8070","TFZ002_8004","TFZ002_8003","TFZ002_8001","TFZ002_8000","Stahl_21","Stahl_20","Stahl_19","Stahl_18","Stahl_17","Stahl_16","Stahl_15","Stahl_14","Stahl_13","Stahl_12","Stahl_11","Stahl_10","Stahl_09","Stahl_08","Stahl_07","Stahl_06","Stahl_05","Stahl_04","Stahl_03","Stahl_02","Stahl_01","RS0001_1223","RS0001_1222","RS0001_1221","RS0001_1218","RS0001_1206","RS0001_1197","RS0001_1196","RS0001_1181","RS0001_1180","RS0001_1173","RS0001_1171","HG0155_0057","HG0155_0056","HG0155_0055","HG0155_0049","HG0155_0048","HG0155_0047","HG0001_9881","HG0001_9880","HG0001_9879","HG0001_9878","HG0001_9877","HG0001_9876","Geiger_10","Geiger_09","Geiger_08","Geiger_07","Geiger_06","Geiger_05","Geiger_02","Geiger_01"
"Acidobacteria","Acidobacteria",5281,2961,2944,1865,3244,2283,3854,3496,2804,2369,2427,4115,5537,3981,3629,4037,2445,266,973,1119,1375,1048,1541,853,1540,801,83,2000,3182,2465,2771,1963,3516,2192,2506,1849,3296,2388,3673,3400,2665,2111,2290,2496,1266,1497,1566,1505,1691,1707,1784,961,667,890,769,962,430,1218
"Actinobacteria","Actinobacteria",126481,94947,78899,57186,112370,97382,207391,338789,193902,249239,242308,196422,256120,188099,155220,237160,30317,5937,16284,13765,16441,23165,23378,10986,15313,9459,2652,66439,258843,121124,74102,64914,91666,82287,138461,126960,215646,65742,86587,76774,65576,55437,58678,73011,43682,59353,79857,45874,47191,41673,26032,13411,11196,14217,12716,16308,10625,29074
"Apicomplexa","Apicomplexa",650,350,389,662,492,342,696,383,450,322,417,617,769,414,470,427,862,107,719,373,335,393,477,272,379,236,83,372,280,414,515,405,539,419,460,256,466,477,671,475,567,404,465,484,160,201,395,188,164,253,165,67,55,96,165,119,51,110
"Aquificae","Aquificae",207,109,101,196,167,112,128,39,105,51,68,114,159,103,83,123,413,72,514,288,187,488,410,291,188,81,61,86,63,75,75,55,89,86,49,34,76,100,68,148,137,31,34,69,42,40,79,48,67,39,47,48,NA,39,42,26,NA,28
"Armatimonadetes","Armatimonadetes",481,283,273,204,284,210,392,245,172,163,219,360,422,231,312,308,336,NA,181,198,175,174,186,145,187,135,NA,190,199,229,274,238,335,211,152,145,303,204,315,384,343,212,231,241,126,141,186,130,177,151,138,26,53,61,50,80,30,147
"Arthropoda","Arthropoda",2290,2723,4435,36570,15168,7349,625,403,948,6362,573,784,816,514,1885,493,779,305,1008,498,506,1039,713,721,456,283,210,2903,702,2648,1867,2549,986,9813,18617,2807,7877,2976,24174,9332,32746,14413,11435,7893,3643,5863,48452,2020,2350,9343,4160,2256,240,923,16888,132,1384,894
"Ascomycota","Ascomycota",38707,22408,22328,33100,29970,19397,29484,19564,18614,17146,18480,31206,38382,24435,26511,26229,29775,5203,19359,14933,14508,20242,23343,15008,17121,8155,2414,19031,20305,21467,22151,17350,26600,21917,24571,15566,27352,22315,32236,27905,31780,18453,20537,22511,12833,14563,31224,13587,15105,17522,11788,5700,4462,6651,11060,5921,3478,7268
"Bacillariophyta","Bacillariophyta",45,30,35,35,67,35,65,29,41,NA,27,32,29,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,63,54,30,120,86,74,40,44,49,NA,32,31,NA,NA,NA,NA,NA,28,NA,24,33,NA,NA,NA,NA,NA,NA,NA,NA
"Bacteroidetes","Bacteroidetes",1933513,1659388,1288158,2007622,1681046,2391963,2328139,4076743,2634431,4297975,3002402,3642826,5798477,5612502,4583759,4709348,45465,8564,33065,29199,24614,36945,36474,43688,30211,14977,4934,1885218,2391598,3206103,1677500,3386557,1873535,2703586,4375100,4490343,2188850,1808334,1477644,487489,554985,896894,934037,654838,1220242,1372846,2398988,1090811,1309252,944706,635076,189818,162329,142117,197133,140735,111356,252894
"Balneolaeota","Balneolaeota",92,44,39,46,69,25,98,37,117,50,51,143,274,191,119,225,362,42,NA,83,62,135,297,NA,158,93,NA,65,NA,62,81,77,57,43,67,76,83,63,27,60,39,NA,NA,35,36,41,79,24,46,30,43,NA,NA,35,NA,NA,NA,NA
"Basidiomycota","Basidiomycota",16404,9606,10269,10899,11930,7688,12191,8216,7312,6045,7647,12122,14951,8745,10662,9482,11958,1910,6646,5356,6758,7236,9161,5051,7175,3545,654,7549,7974,8793,10517,6679,12194,8854,9496,6857,11286,8927,15574,12706,12344,9305,10073,10276,5225,5790,9777,5602,6134,6501,4942,2576,1888,2965,3319,2734,1475,3179
"Blastocladiomycota","Blastocladiomycota",87,53,45,63,68,44,64,52,41,35,44,44,73,34,64,31,31,NA,36,44,44,36,30,76,47,NA,NA,33,33,35,45,41,53,46,66,NA,54,24,26,38,43,NA,NA,NA,NA,44,36,25,35,24,31,NA,NA,NA,NA,NA,NA,NA
"Caldiserica","Caldiserica",34,NA,NA,NA,24,26,NA,NA,NA,NA,NA,26,49,28,26,24,141,NA,159,156,157,114,96,246,240,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calditrichaeota","Calditrichaeota",83,62,34,62,63,51,96,NA,26,NA,26,57,79,29,52,35,165,NA,25,54,90,42,125,NA,94,73,NA,43,NA,46,77,54,100,98,41,58,37,44,NA,38,30,NA,NA,43,NA,28,53,NA,26,NA,NA,NA,NA,29,NA,NA,NA,NA
