"","Unadjusted_p","FDR","Pathway"
"HSERMETANA.PWY:L.methionine.biosynthesis.III",0.000161603102779573,0.0211700064641241,"HSERMETANA.PWY:L.methionine.biosynthesis.III"
"RIBOSYN2.PWY:flavin.biosynthesis.I.(bacteria.and.plants)",0.000161603102779573,0.0211700064641241,"RIBOSYN2.PWY:flavin.biosynthesis.I.(bacteria.and.plants)"
"PWY.2941:L.lysine.biosynthesis.II",0.000161603102779573,0.0211700064641241,"PWY.2941:L.lysine.biosynthesis.II"
"HISTSYN.PWY:L.histidine.biosynthesis",0.000646412411118293,0.0296380090497738,"HISTSYN.PWY:L.histidine.biosynthesis"
"GLUDEG.I.PWY:GABA.shunt",0.000841529469246729,0.0296380090497738,"GLUDEG.I.PWY:GABA.shunt"
"THISYNARA.PWY:superpathway.of.thiamin.diphosphate.biosynthesis.III.(eukaryotes)",0.000942493432715041,0.0296380090497738,"THISYNARA.PWY:superpathway.of.thiamin.diphosphate.biosynthesis.III.(eukaryotes)"
"PWY.6936:seleno.amino.acid.biosynthesis",0.000942493432715041,0.0296380090497738,"PWY.6936:seleno.amino.acid.biosynthesis"
"DAPLYSINESYN.PWY:L.lysine.biosynthesis.I",0.000942493432715041,0.0296380090497738,"DAPLYSINESYN.PWY:L.lysine.biosynthesis.I"
"PWY.5022:4.aminobutanoate.degradation.V",0.000942493432715041,0.0296380090497738,"PWY.5022:4.aminobutanoate.degradation.V"
"PWY.6147:6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.I",0.00101414377740825,0.0296380090497738,"PWY.6147:6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.I"
"PWY.7234:inosine.5'.phosphate.biosynthesis.III",0.00105883510004222,0.0296380090497738,"PWY.7234:inosine.5'.phosphate.biosynthesis.III"
"PWY.4041:&gamma;.glutamyl.cycle",0.00105883510004222,0.0296380090497738,"PWY.4041:&gamma;.glutamyl.cycle"
"ANAEROFRUCAT.PWY:homolactic.fermentation",0.00108166488475667,0.0296380090497738,"ANAEROFRUCAT.PWY:homolactic.fermentation"
"PWY.5505:L.glutamate.and.L.glutamine.biosynthesis",0.00108166488475667,0.0296380090497738,"PWY.5505:L.glutamate.and.L.glutamine.biosynthesis"
"PWY.7197:pyrimidine.deoxyribonucleotide.phosphorylation",0.00113122171945701,0.0296380090497738,"PWY.7197:pyrimidine.deoxyribonucleotide.phosphorylation"
"PWY.5695:urate.biosynthesis/inosine.5'.phosphate.degradation",0.00134877430570558,0.0311804883613113,"PWY.5695:urate.biosynthesis/inosine.5'.phosphate.degradation"
"PWY.5030:L.histidine.degradation.III",0.00134877430570558,0.0311804883613113,"PWY.5030:L.histidine.degradation.III"
"PWY.7315:dTDP.N.acetylthomosamine.biosynthesis",0.00193923723335488,0.0369149084647431,"PWY.7315:dTDP.N.acetylthomosamine.biosynthesis"
"PWY.6859:all.trans.farnesol.biosynthesis",0.00212521463315806,0.0369149084647431,"PWY.6859:all.trans.farnesol.biosynthesis"
"PWY.6901:superpathway.of.glucose.and.xylose.degradation",0.00216041449030303,0.0369149084647431,"PWY.6901:superpathway.of.glucose.and.xylose.degradation"
"COLANSYN.PWY:colanic.acid.building.blocks.biosynthesis",0.00216041449030303,0.0369149084647431,"COLANSYN.PWY:colanic.acid.building.blocks.biosynthesis"
"PENTOSE.P.PWY:pentose.phosphate.pathway",0.00216041449030303,0.0369149084647431,"PENTOSE.P.PWY:pentose.phosphate.pathway"
"PWY.7323:superpathway.of.GDP.mannose.derived.O.antigen.building.blocks.biosynthesis",0.00216041449030303,0.0369149084647431,"PWY.7323:superpathway.of.GDP.mannose.derived.O.antigen.building.blocks.biosynthesis"
