Species,Abundance,OverallMean,Young.Mean,Old.Mean,Fold.Difference,p_Unadjusted,FDR,HigherIn
Akkermansia.sp.UNK.MGS.1,0.00314545454545455,23.5909090909091,47.1818181818182,0,2,9.24817215801904e-05,0.0332934197688686,Young
Akkermansia.sp.54.46,0.00169090909090909,12.6818181818182,25.3636363636364,0,2,0.000920917789873897,0.0620055342803354,Young
Burkholderiales.bacterium.1.1.47,0.00505454545454545,37.9090909090909,75.8181818181818,0,2,0.00654733140917375,0.164711982796748,Young
Parasutterella.excrementihominis,0.00961212121212121,72.0909090909091,144.181818181818,0,2,0.00654733140917375,0.164711982796748,Young
Akkermansia.muciniphila,0.65530303030303,4914.77272727273,9721.45454545455,108.090909090909,1.95601387283237,8.11380741021386e-05,0.0332934197688686,Young
Lysinibacillus.chungkukjangi,0.000951515151515152,7.13636363636364,13.7272727272727,0.545454545454545,1.84713375796178,0.00959850624540354,0.197381597963531,Young
Akkermansia.sp.CAG.344,0.000539393939393939,4.04545454545455,7.63636363636364,0.454545454545455,1.7752808988764,0.0085622744166621,0.190228665352977,Young
Mucispirillum.schaedleri,0.930042424242424,6975.31818181818,13144.7272727273,805.909090909091,1.76892549704477,0.000499119400988216,0.0449207460889394,Young
Clostridium.cocleatum,0.0212727272727273,159.545454545455,284.636363636364,34.4545454545455,1.56809116809117,2.8351421540276e-06,0.00408260470179975,Young
Faecalibaculum.rodentium,1.86773333333333,14008,24694.5454545455,3321.45454545455,1.52577747780489,0.000234812818232019,0.037570050917123,Young
Muribaculum.sp.TLL.A4,1.54811515151515,11610.8636363636,20268,2953.72727272727,1.49121316635283,1.13405686161104e-05,0.0081652094035995,Young
Clostridium.sp.29.15,0.00083030303030303,6.22727272727273,10.5454545454545,1.90909090909091,1.38686131386861,0.00244315761431109,0.0902088965284094,Young
Prevotella.sp.CAG.592,0.00357575757575758,26.8181818181818,44.8181818181818,8.81818181818182,1.34237288135593,0.000342588964108952,0.0379483160243762,Young
Prevotella.sp.KCOM.3155,0.00630909090909091,47.3181818181818,77.4545454545455,17.1818181818182,1.27377521613833,0.0135597744795948,0.222841873525708,Young
Bacteroidales.bacterium.M10,5.20652121212121,39048.9090909091,63896.5454545455,14201.2727272727,1.27264176859789,0.00185985325304211,0.0825184709652659,Young
Prevotella.sp.CAG.1124,0.0120424242424242,90.3181818181818,144.545454545455,36.0909090909091,1.20080523402114,0.00423015239026685,0.126904571708005,Young
Prevotella.sp.CAG.1031,0.0686424242424242,514.818181818182,823.727272727273,205.909090909091,1.20007063393961,0.000234812818232019,0.037570050917123,Young
Prevotella.sp.CAG.1185,0.0103030303030303,77.2727272727273,123.363636363636,31.1818181818182,1.19294117647059,0.0114447693617807,0.208613517480559,Young
Prevotella.sp.tf2.5,0.00144848484848485,10.8636363636364,17.1818181818182,4.54545454545455,1.16317991631799,0.00200565728040577,0.0825184709652659,Young
Prevotella.sp.CAG.1058,0.0182121212121212,136.590909090909,209.909090909091,63.2727272727273,1.07354409317804,0.00638338649794497,0.164711982796748,Young
Prevotella.buccalis,0.0046969696969697,35.2272727272727,53.6363636363636,16.8181818181818,1.04516129032258,0.0178867109189903,0.254811675563399,Young
Bacteroidales.bacterium.H7,0.171642424242424,1287.31818181818,1923,651.636363636364,0.987606369831574,0.00185985325304211,0.0825184709652659,Young
Prevotella.copri,0.0260242424242424,195.181818181818,290.090909090909,100.272727272727,0.972519795062878,0.000189954524319849,0.037570050917123,Young
Prevotellaceae.bacterium.HUN156,0.00207272727272727,15.5454545454545,23.0909090909091,8,0.970760233918129,0.0253669275767696,0.281251627383256,Young
Prevotella.fusca,0.00196969696969697,14.7727272727273,21.9090909090909,7.63636363636364,0.966153846153846,0.00332239152183492,0.10873281344187,Young
