"","Species","Abundance","OverallMean","Young_HSCs.Mean","Old_HSCs.Mean","Fold.Difference","p_Unadjusted","FDR","HigherIn"
"1241","Rhodopseudomonas.palustris",0.000121212121212121,0.909090909090909,2,0,2.2,0.0475819238095524,1,"Young_HSCs"
"18","Adlercreutzia.equolifaciens",0.000133333333333333,1,2.2,0,2.2,0.0484060191761476,1,"Young_HSCs"
"174","Bacteroides.luti",0.000193939393939394,1.45454545454545,3.2,0,2.2,0.0484060191761476,1,"Young_HSCs"
"698","Erysipelotrichaceae.bacterium.6.1.45",0.000290909090909091,2.18181818181818,4.8,0,2.2,0.0484060191761476,1,"Young_HSCs"
"456","Clostridium.leptum.CAG.27",0.000315151515151515,2.36363636363636,4.8,0.333333333333333,1.88974358974359,0.0360651446057613,1,"Young_HSCs"
"852","Hydrogenispora.ethanolica",0.000327272727272727,2.45454545454545,4.6,0.666666666666667,1.60246913580247,0.0464841186063169,1,"Young_HSCs"
"806","Fusarium.oxysporum",0.000521212121212121,3.90909090909091,6.4,1.83333333333333,1.16821705426357,0.0332680500216398,1,"Young_HSCs"
"1054","Paenibacillus.catalpae",0.000921212121212121,6.90909090909091,10.8,3.66666666666667,1.03245614035088,0.016604953895189,1,"Young_HSCs"
"1332","Selenomonas.bovis",0.00101818181818182,7.63636363636364,11.8,4.16666666666667,0.999603174603175,0.0215675614223758,1,"Young_HSCs"
"1239","Rhizophagus.irregularis",0.000933333333333333,7,10.2,4.33333333333333,0.838095238095238,0.0353443284075279,1,"Young_HSCs"
