Species,p_Unadjusted,FDR
Ruminococcaceae.bacterium.AB4001,0.017747132,1
Firmicutes.bacterium.AM59.13,0.019997356,1
Deinococcus.aquatilis,0.020415944,1
Cytophaga.xylanolytica,0.023221272,1
Listeria.monocytogenes,0.024941261,1
Hypholoma.sublateritium,0.025929407,1
Erysipelotrichaceae.bacterium.6.1.45,0.03520375,1
Clostridium.sp.AM43.3BH,0.035599939,1
Paenibacillus.sp.HW567,0.03752574,1
Pelotomaculum.thermopropionicum,0.040630444,1
Clostridium.sp.AM09.51,0.041322491,1
Firmicutes.bacterium.AF36.19BH,0.042070163,1
Lutispora.thermophila,0.047138035,1
