"Group1","Group2","Mean_Distance","p_value","p_adjusted","significant"
"O","DY",0.361338740740741,0.003,0.008,TRUE
"O","Y",0.369878111111111,0.004,0.008,TRUE
"DY","Y",0.413520518518519,0.004,0.008,TRUE
"O","RAG1-/-",0.43360462962963,0.002,0.008,TRUE
"DY","RAG1-/-",0.469524740740741,0.003,0.008,TRUE
"DO","Y",0.450720044444444,0.006,0.00857142857142857,TRUE
"RAG1-/-","Y",0.469704740740741,0.006,0.00857142857142857,TRUE
"DO","RAG1-/-",0.519762177777778,0.007,0.00875,TRUE
"O","DO",0.443576044444444,0.012,0.0133333333333333,TRUE
"DO","DY",0.370980844444444,0.341,0.341,FALSE
"Y","Y",0.231394222222222,1,1,FALSE
"O","O",0.283502311111111,1,1,FALSE
"DY","DY",0.306632711111111,1,1,FALSE
"RAG1-/-","RAG1-/-",0.323782311111111,1,1,FALSE
"DO","DO",0.4299184,1,1,FALSE
